source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,“Presidential Proclamation Addressing Mass Migration Through the Southern Border of the United States” https://t.co/9blzn1XGyS,11-09-2018 14:54:15,17061,54142,FALSE,1.06090843006248E+018
Twitter for iPhone,Law Enforcement is looking into another big corruption scandal having to do with Election Fraud in #Broward and Palm Beach. Florida voted for Rick Scott!,11-09-2018 02:38:22,41444,133861,FALSE,1.06072324119348E+018
Twitter for iPhone,....Great bravery shown by police. California Highway Patrol was on scene within 3 minutes with first officer to enter shot numerous times. That Sheriff’s Sergeant died in the hospital. God bless all of the victims and families of the victims. Thank you to Law Enforcement.,11-08-2018 12:51:21,24694,126276,FALSE,1.06051511670005E+018
Twitter for iPhone,I have been fully briefed on the terrible shooting in California. Law Enforcement and First Responders together with the FBI are on scene. 13 people at this time have been reported dead. Likewise the shooter is dead along with the first police officer to enter the bar....,11-08-2018 12:38:41,20056,93498,FALSE,1.06051192588329E+018
Twitter for iPhone,....We thank Attorney General Jeff Sessions for his service and wish him well! A permanent replacement will be nominated at a later date.,11-07-2018 19:44:12,19992,88304,FALSE,1.06025662343911E+018
Twitter for iPhone,We are pleased to announce that Matthew G. Whitaker Chief of Staff to Attorney General Jeff Sessions at the Department of Justice will become our new Acting Attorney General of the United States. He will serve our Country well....,11-07-2018 19:44:11,29802,120598,FALSE,1.06025661938319E+018
Twitter for iPhone,According to NBC News Voters Nationwide Disapprove of the so-called Mueller Investigation (46%) more than they Approve (41%). You mean they are finally beginning to understand what a disgusting Witch Hunt led by 17 Angry Democrats is all about!,11-07-2018 15:39:11,28171,121680,FALSE,1.06019496435166E+018
Twitter for iPhone,In all fairness Nancy Pelosi deserves to be chosen Speaker of the House by the Democrats. If they give her a hard time perhaps we will add some Republican votes. She has earned this great honor!,11-07-2018 13:31:24,18230,88331,FALSE,1.06016280796087E+018
Twitter for iPhone,If the Democrats think they are going to waste Taxpayer Money investigating us at the House level then we will likewise be forced to consider investigating them for all of the leaks of Classified Information and much else at the Senate level. Two can play that game!,11-07-2018 13:04:02,45845,177543,FALSE,1.06015591705922E+018
Twitter for iPhone,To any of the pundits or talking heads that do not give us proper credit for this great Midterm Election just remember two words - FAKE NEWS!,11-07-2018 12:52:39,29205,138372,FALSE,1.0601530526767E+018
Twitter for iPhone,I will be doing a news conference at The White House - 11:30 A.M. Will be discussing our success in the Midterms!,11-07-2018 12:36:28,13528,68540,FALSE,1.06014898296873E+018
Twitter for iPhone,Those that worked with me in this incredible Midterm Election embracing certain policies and principles did very well. Those that did not say goodbye! Yesterday was such a very Big Win and all under the pressure of a Nasty and Hostile Media!,11-07-2018 12:07:51,24356,109595,FALSE,1.06014178087898E+018
Twitter for iPhone,Ron DeSantis showed great courage in his hard fought campaign to become the Governor of Florida. Congratulations to Ron and family!,11-07-2018 11:55:35,16197,86387,FALSE,1.0601386917783E+018
Twitter for iPhone,Received so many Congratulations from so many on our Big Victory last night including from foreign nations (friends) that were waiting me out and hoping on Trade Deals. Now we can all get back to work and get things done!,11-07-2018 11:21:51,22468,110043,FALSE,1.06013020241886E+018
Twitter for iPhone,.@DavidAsmanfox  “How do the Democrats respond to this? Think of how his position with Republicans improves-all the candidates who won tonight. They realize how important he is because of what he did in campaigning for them. They owe him their political career.” Thanks I agree!,11-07-2018 06:49:40,12682,62392,FALSE,1.06006170485021E+018
Twitter for iPhone,....unbelievably lucky to have him and I’m just awed at how well they’ve done. It’s all the Trump magic - Trump is the magic man. Incredible he’s got the entire media against him attacking him every day and he pulls out these enormous wins.” Ben Stein “The Capitalist Code”,11-07-2018 06:37:48,19023,88201,FALSE,1.0600587189378E+018
Twitter for iPhone,“There’s only been 5 times in the last 105 years that an incumbent President has won seats in the Senate in the off year election. Mr. Trump has magic about him. This guy has magic coming out of his ears. He is an astonishing vote getter &amp; campaigner. The Republicans are.........,11-07-2018 06:27:01,23177,99914,FALSE,1.06005600731605E+018
Twitter for iPhone,Tremendous success tonight. Thank you to all!,11-07-2018 04:14:39,50577,253545,FALSE,1.06002269670307E+018
Twitter for iPhone,Congressman Randy Hultgren (R) of Illinois is doing a great job. Get out and Vote for Randy - Total Endorsement!,11-06-2018 19:56:34,13936,65661,FALSE,1.05989734900528E+018
Twitter for iPhone,Florida very important - get out and vote for Florida Congressional Candidate Michael Waltz (R). He has my Strong Endorsement!,11-06-2018 19:52:48,16491,75066,FALSE,1.05989639959522E+018
Twitter for iPhone,Epstein all the way in Michigan House 11. She is a wonderful person and at the same time a real fighter. Has my Strong Endorsement!,11-06-2018 18:48:55,12161,54069,FALSE,1.05988032250083E+018
Twitter for iPhone,RT @FLOTUS: Vote Red 🇺🇸 MAGA 🇺🇸 https://t.co/i95OiBimxA https://t.co/ncvDcAP8LZ,11-06-2018 18:11:30,21071,0,TRUE,1.05987090713145E+018
Twitter for iPhone,Bob Hugin successful all of his life would be a Great Senator from New Jersey. He has my complete and total Endorsement! Get out and Vote for Bob.,11-06-2018 18:08:29,15451,64331,FALSE,1.05987014784502E+018
Twitter for iPhone,POLLING LOCATIONS: https://t.co/0pWiwCHGbh,11-06-2018 17:58:13,9977,36625,FALSE,1.05986756374682E+018
Twitter for iPhone,RT @realDonaldTrump: Fantastic #MAGARally🇺🇸in West Virginia thank you. Everyone get out and VOTE for Patrick @MorriseyWV and @CarolMillerW…,11-06-2018 16:27:29,12296,0,TRUE,1.05984472920093E+018
Twitter for iPhone,RT @realDonaldTrump: Indiana Rally and Coach Bobby Knight were incredible last night. Packed House in Honor of Mike Braun for Senate. Mik…,11-06-2018 16:26:37,13388,0,TRUE,1.0598445125567E+018
Twitter for iPhone,RT @realDonaldTrump: Get out and VOTE for @DeanHeller! https://t.co/4HEkpQL3oy,11-06-2018 16:26:15,11166,0,TRUE,1.05984442052527E+018
Twitter for iPhone,RT @realDonaldTrump: New York get out and VOTE for @JohnFasoNy a great and hardworking Congressman. We need John’s voice in D.C. His oppo…,11-06-2018 16:25:44,15174,0,TRUE,1.05984429176015E+018
Twitter for iPhone,RT @realDonaldTrump: If Chuck Schumer and Nancy Pelosi gain the majority they will try to raise your taxes restore job-killing regulation…,11-06-2018 16:25:09,18689,0,TRUE,1.05984414571449E+018
Twitter for iPhone,RT @realDonaldTrump: Arizona is such a Great State but it needs Border Security which @MarthaMcSally will provide and Krysten Sinema doesn…,11-06-2018 16:24:54,16726,0,TRUE,1.05984408035463E+018
Twitter for iPhone,RT @realDonaldTrump: Rumor has it that Senator Joe Donnelly of Indiana is paying for Facebook ads for his so-called opponent on the liberta…,11-06-2018 16:24:43,27772,0,TRUE,1.05984403482974E+018
Twitter for iPhone,RT @realDonaldTrump: ....Lake Okeechobee and all of the hurricane money were a passion for Rick Scott who called endlessly on behalf of th…,11-06-2018 16:24:13,12596,0,TRUE,1.05984390714247E+018
Twitter for iPhone,RT @realDonaldTrump: In all the time I’ve been President almost two years never once did Senator Bill Nelson call me to ask for help for…,11-06-2018 16:23:52,16831,0,TRUE,1.05984381977099E+018
Twitter for iPhone,RT @realDonaldTrump: Another fantastic #MAGARally tonight in the Great State of Florida. In just 3 days the People of Florida are going to…,11-06-2018 16:23:23,14201,0,TRUE,1.059843699298E+018
Twitter for iPhone,RT @realDonaldTrump: Thank you Macon Georgia! Get out on Tuesday November 6th and VOTE for @BrianKempGA as your next Governor to protect…,11-06-2018 16:21:12,13565,0,TRUE,1.05984314790632E+018
Twitter for iPhone,RT @realDonaldTrump: If @AndrewGillum did the same job with Florida that he has done in Tallahassee as Mayor the State will be a crime rid…,11-06-2018 16:20:17,18838,0,TRUE,1.05984291776907E+018
Twitter for iPhone,RT @realDonaldTrump: No matter what she says Senator Claire McCaskill will always vote against us and the Great State of Missouri! Vote fo…,11-06-2018 16:20:03,21196,0,TRUE,1.05984285879722E+018
Twitter for iPhone,RT @realDonaldTrump: I need @claudiatenney of #NY22 to be re-elected in order to get our big plans moving. Her opponent would be a disaster…,11-06-2018 16:19:39,13476,0,TRUE,1.05984275946765E+018
Twitter for iPhone,RT @realDonaldTrump: REMEMBER FLORIDA: I have been President of the United States for almost two years. During that time Senator Bill Nelso…,11-06-2018 16:19:24,22255,0,TRUE,1.05984269738775E+018
Twitter for iPhone,RT @realDonaldTrump: Law Enforcement has been strongly notified to watch closely for any ILLEGAL VOTING which may take place in Tuesday’s E…,11-06-2018 16:19:12,36988,0,TRUE,1.05984264674153E+018
Twitter for iPhone,RT @realDonaldTrump: “Bill Nelson is kind of an empty figure in Washington. You never hear his name he’s never in debates on key issues -…,11-06-2018 16:18:49,16386,0,TRUE,1.05984254976922E+018
Twitter for iPhone,Congressman Peter King of New York is a hardworking gem. Loves his Country and his State. Get out and VOTE for Peter!,11-06-2018 15:44:46,9749,40529,FALSE,1.05983398277755E+018
Twitter for iPhone,There is a rumor put out by the Democrats that Josh Hawley of Missouri left the Arena last night early. It is Fake News. He met me at the plane when I arrived spoke at the great Rally &amp; stayed to the very end. In fact I said goodbye to him and left before he did. Deception!,11-06-2018 15:20:08,25845,93518,FALSE,1.05982778243433E+018
Twitter for iPhone,A fantastic evening in Cape Girardeau Missouri. Josh @HawleyMO will be a tireless champion for YOU. He is great on jobs great on tax cuts and tough on crime. He shares your values and he will always support our Military Vets and Police! Get out tomorrow and VOTE for Josh!! https://t.co/YPB8nqX2d6,11-06-2018 06:36:22,11899,45885,FALSE,1.05969597290792E+018
Twitter for iPhone,A vote for Claire McCaskill is a vote for Schumer Pelosi Waters and their socialist agenda. Claire voted IN FAVOR of deadly Sanctuary Cities - she would rather protect criminal aliens than American citizens which is why she needs to be voted out of office. Vote @HawleyMO! https://t.co/tn2zsEWQJ5,11-06-2018 05:12:46,12688,43948,FALSE,1.0596749317373E+018
Twitter for iPhone,A fantastic evening in Girardeau Missouri. Josh @HawleyMO will be a tireless champion for YOU. He is great on jobs great on tax cuts and tough on crime. He shares your values and he will always support our Military Vets and Police! Get out tomorrow and VOTE for Josh!! https://t.co/8zgyv5x2A6,11-06-2018 05:05:09,3719,11725,FALSE,1.05967301751149E+018
Twitter for iPhone,RT @IvankaTrump: Ohio✈️Indiana✈️Missouri 🇺🇸🇺🇸🇺🇸 https://t.co/Xn51CudZUt,11-06-2018 05:02:31,9985,0,TRUE,1.05967235471504E+018
Twitter for iPhone,RT @DanScavino: .@TheLeeGreenwood singing GOD BLESS THE USA in Cape Girardeau Missouri at @realDonaldTrump’s #MAGARally... https://t.co/Gl…,11-06-2018 04:58:38,11106,0,TRUE,1.05967137588193E+018
Twitter for iPhone,You have been loyal and faithful to your Country and now you have a President that is loyal and faithful to you. Get out tomorrow and https://t.co/HfihPERFgZ! https://t.co/Fr6HlmA7y6,11-06-2018 02:14:58,18831,60877,FALSE,1.05963018673874E+018
Twitter for iPhone,On my way see you soon Cape Girardeau Missouri! #MAGARally https://t.co/0pWiwCHGbh https://t.co/XZdgktuTmL,11-06-2018 01:47:25,10757,46511,FALSE,1.05962325608751E+018
Twitter for iPhone,Massive crowd inside and outside the Allen County War Memorial Coliseum in Fort Wayne Indiana! Thank you for joining us tonight - and make sure you get out and https://t.co/0pWiwCHGbh tomorrow! https://t.co/8APMivyM0x,11-06-2018 01:26:42,15896,59337,FALSE,1.05961804171623E+018
Twitter for iPhone,There is only one way to stop this Democrat-Led assault on our sovereignty – you have to VOTE Republican TOMORROW! Polling locations: https://t.co/0pWiwCHGbh https://t.co/ggs0zcXaQu,11-06-2018 01:05:37,12911,42860,FALSE,1.05961273527151E+018
Twitter for iPhone,Thank you Indiana! A vote for Mike @Braun4Indiana is a vote to keep your jobs going up your wages going up and your healthcare costs coming down. It’s a vote to keep your families safe &amp; to keep criminals traffickers &amp; drug dealers OUT of our Country! Get out and for for Mike! https://t.co/3AE7WcHZej,11-06-2018 01:02:32,9631,36659,FALSE,1.05961196153992E+018
Twitter for iPhone,Just landed in Fort Wayne Indiana for a #MAGARally at the Allen County War Memorial Coliseum. See everyone soon! https://t.co/0pWiwCHGbh,11-05-2018 22:28:09,9096,38942,FALSE,1.05957310846465E+018
Twitter for iPhone,Republicans have created the best economy in the HISTORY of our Country – and the hottest jobs market on planet earth. The Democrat Agenda is a Socialist Nightmare. The Republican Agenda is the AMERICAN DREAM! https://t.co/0pWiwCHGbh https://t.co/JfdM1p5xxY,11-05-2018 21:40:04,13353,44613,FALSE,1.05956100752012E+018
Twitter for iPhone,Thank you Ohio! When you enter the voting booth tomorrow you will be making a simple choice. A vote for Republicans is a vote to continue our extraordinary prosperity. A vote for Dems is a vote to bring this Economic Boom crashing to a sudden screeching halt. Vote @MikeDeWine! https://t.co/iai8bSEgBh,11-05-2018 21:26:24,11316,41268,FALSE,1.05955756981818E+018
Twitter for iPhone,Something’s happening America! Get out tomorrow and https://t.co/0pWiwCHGbh so together we can KEEP MAKING AMERICA GREAT AGAIN!! https://t.co/zajBieMWpl,11-05-2018 20:59:42,18299,57638,FALSE,1.05955085067323E+018
Twitter for iPhone,“Bill Nelson is kind of an empty figure in Washington. You never hear his name he’s never in debates on key issues - he is just under the radar.” Chris Wallace on @FoxNews  In other words Nelson is a “stiff.”,11-05-2018 17:59:12,16386,61292,FALSE,1.0595054224308E+018
Twitter for iPhone,RT @EricTrump: Friends We are on the one yard line and need everyone to VOTE Republican tomorrow! America is back! America is winning aga…,11-05-2018 17:10:18,14566,0,TRUE,1.05949312017232E+018
Twitter for iPhone,Law Enforcement has been strongly notified to watch closely for any ILLEGAL VOTING which may take place in Tuesday’s Election (or Early Voting). Anyone caught will be subject to the Maximum Criminal Penalties allowed by law. Thank you!,11-05-2018 15:41:48,36988,130479,FALSE,1.05947084775113E+018
Twitter for iPhone,REMEMBER FLORIDA: I have been President of the United States for almost two years. During that time Senator Bill Nelson didn’t call me once. Rick Scott called constantly requesting dollars plus for Florida. Did a GREAT job on hurricanes. VOTE SCOTT!,11-05-2018 15:35:06,22255,78621,FALSE,1.0594691588308E+018
Twitter for iPhone,So funny to see the CNN Fake Suppression Polls and false rhetoric. Watch for real results Tuesday. We are lucky CNN’s ratings are so low. Don’t fall for the Suppression Game. Go out &amp; VOTE. Remember we now have perhaps the greatest Economy (JOBS) in the history of our Country!,11-05-2018 15:18:06,31934,106153,FALSE,1.05946488095528E+018
Twitter for iPhone,I need @claudiatenney of #NY22 to be re-elected in order to get our big plans moving. Her opponent would be a disaster. Nobody works harder than Claudia and she is a producer. I look forward to working together with her - she has my Strongest Endorsement! Vote Claudia!,11-05-2018 15:01:43,13476,48087,FALSE,1.0594607591792E+018
Twitter for iPhone,No matter what she says Senator Claire McCaskill will always vote against us and the Great State of Missouri! Vote for Josh Hawley - he will be a great Senator!,11-05-2018 13:36:57,21196,78458,FALSE,1.05943942602214E+018
Twitter for iPhone,If @AndrewGillum did the same job with Florida that he has done in Tallahassee as Mayor the State will be a crime ridden overtaxed mess. @RonDeSantisFL will be a great Governor. VOTE!!!!!!,11-05-2018 13:21:07,18838,60813,FALSE,1.05943544049793E+018
Twitter for iPhone,.@DebbieStabenow voted against Tax Cuts great Healthcare Supreme Court Justices and all of the many things the people of Michigan wanted and need. She is an automatic far left vote controlled by her bosses. John James can be a truly great Senator!,11-05-2018 13:13:20,15166,50607,FALSE,1.05943348342318E+018
Twitter for iPhone,Dana Rohrabacher has been a great Congressman for his District and for the people of Cal. He works hard and is respected by all - he produces! Dems are desperate to replace Dana by spending vast sums to elect a super liberal who is weak on Crime and bad for our Military &amp; Vets!,11-05-2018 05:32:10,15490,55764,FALSE,1.05931742665393E+018
Twitter for iPhone,John James running as a Republican for the Senate from Michigan is a spectacular young star of the future. We should make him a star of the present. A distinguished West Point Grad and Vet people should Vote Out Schumer Puppet Debbie Stabenow who does nothing for Michigan!,11-05-2018 05:04:53,23988,81682,FALSE,1.05931056277198E+018
Twitter for iPhone,In just 2 days the people of Tennessee are going to elect @VoteMarsha Blackburn to the United States Senate to protect your jobs defend your borders and CONTINUE MAKING AMERICA GREAT AGAIN! Get out on Tuesday and VOTE for Marsha! https://t.co/BJhmItntMo,11-05-2018 02:00:06,13891,49466,FALSE,1.05926406103097E+018
Twitter for iPhone,Thank you for joining us tonight in Tennessee @TheLeeGreenwood. GOD BLESS THE U.S.A.! https://t.co/hfxi4Ct6Pv,11-05-2018 01:36:10,23825,86376,FALSE,1.05925803447471E+018
Twitter for iPhone,Great to be back in Tennessee. On our way to the McKenzie Arena in Chattanooga for a huge #MAGARally - see everyone soon! https://t.co/RwZt5yGuE5,11-04-2018 23:47:01,12630,53573,FALSE,1.05923056925768E+018
Twitter for iPhone,Thank you Macon Georgia! Get out on Tuesday November 6th and VOTE for @BrianKempGA as your next Governor to protect your jobs defend your borders fight for your values and continue MAKING AMERICA GREAT AGAIN! https://t.co/Hzbqw35oNM,11-04-2018 23:05:44,13565,52353,FALSE,1.05922017716906E+018
Twitter for iPhone,On my way to Macon Georgia where the crowds are massive for a 4pmE #MAGARally. Will be in Chattanooga Tennessee tonight seen below for a 7pmE rally. Something’s happening! Everyone needs to get out and VOTE! https://t.co/xBXepwpug9,11-04-2018 20:02:53,13675,52267,FALSE,1.05917416296572E+018
Twitter for iPhone,WOW - Departing the White House shortly. See you soon Georgia! #MAGA https://t.co/Lk0SoU8pie https://t.co/Sn9D9o4fNZ,11-04-2018 18:35:54,15628,59709,FALSE,1.05915227034298E+018
Twitter for iPhone,RT @realDonaldTrump: .@DannyTarkanian is a great guy and a team player. He will represent his District State and Country at the highest le…,11-04-2018 16:07:14,14321,0,TRUE,1.05911486030536E+018
Twitter for iPhone,RT @realDonaldTrump: Martha McSally is a great warrior her opponent a Nancy Pelosi Wacko! https://t.co/QEUdPWDDud,11-04-2018 15:44:36,18385,0,TRUE,1.05910916233918E+018
Twitter for iPhone,RT @realDonaldTrump: In Florida there is a choice between a Harvard/Yale educated man named @RonDeSantisFL who has been a great Congressman…,11-04-2018 15:42:32,29601,0,TRUE,1.05910864125144E+018
Twitter for iPhone,RT @realDonaldTrump: So Revealing! https://t.co/wR0Z4694ei,11-04-2018 15:41:45,49759,0,TRUE,1.05910844539849E+018
Twitter for iPhone,RT @realDonaldTrump: .@Troy_Balderson is doing a great job as Congressman from Ohio. We need him in D.C. Vote for Troy - He has my total En…,11-04-2018 15:41:03,13405,0,TRUE,1.05910826818073E+018
Twitter for iPhone,RT @realDonaldTrump: Congressman @RodBlum of Iowa got a desperately needed Flood Wall for Cedar Rapids that was almost impossible to get. H…,11-04-2018 15:40:49,13545,0,TRUE,1.05910821108789E+018
Twitter for iPhone,RT @realDonaldTrump: Congressman @DaveBratVA7th is a fighter who is doing a great job for Virginia and for our Country. Border Military V…,11-04-2018 15:40:35,12816,0,TRUE,1.05910815330709E+018
Twitter for iPhone,RT @realDonaldTrump: .@Erik_Paulsen @Jason2CD @JimHagedornMN and @PeteStauber love our Country and the Great State of Minnesota. They ar…,11-04-2018 15:40:24,11850,0,TRUE,1.05910810790373E+018
Twitter for iPhone,RT @realDonaldTrump: Just out: Consumer Confidence hits highest level since 2000.,11-04-2018 15:39:46,22652,0,TRUE,1.05910794748005E+018
Twitter for iPhone,RT @realDonaldTrump: .@MikeDeWine will be a great Governor for the People of Ohio. He is an outstanding man who loves his State – and alway…,11-04-2018 15:39:37,12519,0,TRUE,1.05910790840594E+018
Twitter for iPhone,RT @realDonaldTrump: ....Richard Cordray will let you down just like he did when he destroyed the government agency that he ran. Clone of…,11-04-2018 15:39:28,11064,0,TRUE,1.05910787358903E+018
Twitter for iPhone,RT @realDonaldTrump: Congressman @KevinYoder has fought hard for the People of Kansas. Highly respected strong on Crime the Border Milit…,11-04-2018 15:39:11,14251,0,TRUE,1.05910779924079E+018
Twitter for iPhone,RT @realDonaldTrump: Yesterday in Pittsburgh I was really impressed with Congressman Keith Rothfus (far more so than any other local politi…,11-04-2018 15:32:18,14526,0,TRUE,1.0591060698244E+018
Twitter for iPhone,RT @realDonaldTrump: It is outrageous what the Democrats are doing to our Country. Vote Republican now! https://t.co/0pWiwCHGbh https://t.c…,11-04-2018 15:32:05,42067,0,TRUE,1.05910601398974E+018
Twitter for iPhone,RT @realDonaldTrump: That’s because they treat me fairly!“@FoxNews tops @CNN and @MSNBC combined in October cable news ratings” https://t.…,11-04-2018 15:30:14,19495,0,TRUE,1.05910554739021E+018
Twitter for iPhone,RT @realDonaldTrump: .@WalkerStapleton will be an extraordinary Governor for the State of Colorado. He is strong smart and has been succe…,11-04-2018 15:29:17,11753,0,TRUE,1.05910530959838E+018
Twitter for iPhone,RT @realDonaldTrump: Illegal immigration affects the lives of all Americans. Illegal Immigration hurts American workers burdens American t…,11-04-2018 15:28:42,29102,0,TRUE,1.0591051638086E+018
Twitter for iPhone,RT @realDonaldTrump: Together we are Making America Safe and Great Again! https://t.co/0pWiwCHGbh https://t.co/rWl5aSpY3O,11-04-2018 15:28:22,23669,0,TRUE,1.05910507981758E+018
Twitter for iPhone,RT @realDonaldTrump: I love you Missouri! Under Republican leadership America is BOOMING America is THRIVING and America is WINNING - be…,11-04-2018 15:27:47,15063,0,TRUE,1.05910493221591E+018
Twitter for iPhone,RT @realDonaldTrump: Wow! The U.S. added 250000 Jobs in October - and this was despite the hurricanes. Unemployment at 3.7%. Wages UP! The…,11-04-2018 15:27:21,29703,0,TRUE,1.05910482309682E+018
Twitter for iPhone,RT @realDonaldTrump: I need the people of West Virginia to send a message to Chuck Schumer Maxine Waters Nancy Pelosi and the Radical Dem…,11-04-2018 15:25:59,15103,0,TRUE,1.0591044766138E+018
Twitter for iPhone,RT @realDonaldTrump: Scott Perry of Pennsylvania is fantastic. He is strong on the Border Crime the Military our Vets and the Second Ame…,11-04-2018 15:24:58,15408,0,TRUE,1.05910422117226E+018
Twitter for iPhone,New Fox Poll shows a “40% Approval Rating by African Americans for President Trump a record for Republicans.” Thank you a great honor!,11-04-2018 15:15:42,27664,112523,FALSE,1.05910188989843E+018
